show_id,var,seq,type
s1,João Miguel,1,cast_member
s1,Bianca Comparato,2,cast_member
s1,Michel Gomes,3,cast_member
s1,Rodolfo Valente,4,cast_member
s1,Vaneza Oliveira,5,cast_member
s1,Rafael Lozano,6,cast_member
s1,Viviane Porto,7,cast_member
s1,Mel Fronckowiak,8,cast_member
s1,Sergio Mamberti,9,cast_member
s1,Zezé Motta,10,cast_member
s1,Celso Frateschi,11,cast_member
s2,Demián Bichir,1,cast_member
s2,Héctor Bonilla,2,cast_member
s2,Oscar Serrano,3,cast_member
s2,Azalia Ortiz,4,cast_member
s2,Octavio Michel,5,cast_member
s2,Carmen Beato,6,cast_member
s3,Tedd Chan,1,cast_member
s3,Stella Chung,2,cast_member
s3,Henley Hii,3,cast_member
s3,Lawrence Koh,4,cast_member
s3,Tommy Kuan,5,cast_member
s3,Josh Lai,6,cast_member
s3,Mark Lee,7,cast_member
s3,Susan Leong,8,cast_member
s3,Benjamin Lim,9,cast_member
s4,Elijah Wood,1,cast_member
s4,John C. Reilly,2,cast_member
s4,Jennifer Connelly,3,cast_member
s4,Christopher Plummer,4,cast_member
s4,Crispin Glover,5,cast_member
s4,Martin Landau,6,cast_member
s4,Fred Tatasciore,7,cast_member
s4,Alan Oppenheimer,8,cast_member
s4,Tom Kane,9,cast_member
s5,Jim Sturgess,1,cast_member
s5,Kevin Spacey,2,cast_member
s5,Kate Bosworth,3,cast_member
s5,Aaron Yoo,4,cast_member
s5,Liza Lapira,5,cast_member
s5,Jacob Pitts,6,cast_member
s5,Laurence Fishburne,7,cast_member
s5,Jack McGee,8,cast_member
s5,Josh Gad,9,cast_member
s5,Sam Golzari,10,cast_member
s5,Helen Carey,11,cast_member
s5,Jack Gilpin,12,cast_member
s6,Erdal Beşikçioğlu,1,cast_member
s6,Yasemin Allen,2,cast_member
s6,Melis Birkan,3,cast_member
s6,Saygın Soysal,4,cast_member
s6,Berkan Şal,5,cast_member
s6,Metin Belgin,6,cast_member
s6,Ayça Eren,7,cast_member
s6,Selin Uludoğan,8,cast_member
s6,Özay Fecht,9,cast_member
s6,Suna Yıldızoğlu,10,cast_member
s7,Amina Khalil,1,cast_member
s7,Ahmed Dawood,2,cast_member
s7,Tarek Lotfy,3,cast_member
s7,Ahmed El Fishawy,4,cast_member
s7,Mahmoud Hijazi,5,cast_member
s7,Jihane Khalil,6,cast_member
s7,Asmaa Galal,7,cast_member
s7,Tara Emad,8,cast_member
s8,Samuel L. Jackson,1,cast_member
s8,John Heard,2,cast_member
s8,Kelly Rowan,3,cast_member
s8,Clifton Collins Jr.,4,cast_member
s8,Tony Plana,5,cast_member
s9,Divya Dutta,1,cast_member
s9,Atul Kulkarni,2,cast_member
s9,Mohan Agashe,3,cast_member
s9,Anupam Shyam,4,cast_member
s9,Raayo S. Bakhirta,5,cast_member
s9,Yashvit Sancheti,6,cast_member
s9,Greeva Kansara,7,cast_member
s9,Archan Trivedi,8,cast_member
s9,Rajiv Pathak,9,cast_member
s10,Rajneesh Duggal,1,cast_member
s10,Adah Sharma,2,cast_member
s10,Indraneil Sengupta,3,cast_member
s10,Anjori Alagh,4,cast_member
s10,Rajendranath Zutshi,5,cast_member
s10,Vipin Sharma,6,cast_member
s10,Amin Hajee,7,cast_member
s10,Shri Vallabh Vyas,8,cast_member
s11,Thomas Jane,1,cast_member
s11,Molly Parker,2,cast_member
s11,Dylan Schmid,3,cast_member
s11,Kaitlyn Bernard,4,cast_member
s11,Bob Frazer,5,cast_member
s11,Brian d'Arcy James,6,cast_member
s11,Neal McDonough,7,cast_member
s12,Robert Więckiewicz,1,cast_member
s12,Maciej Musiał,2,cast_member
s12,Michalina Olszańska,3,cast_member
s12,Andrzej Chyra,4,cast_member
s12,Clive Russell,5,cast_member
s12,Zofia Wichłacz,6,cast_member
s12,Edyta Olszówka,7,cast_member
s12,Mateusz Kościukiewicz,8,cast_member
s12,Ewa Błaszczyk,9,cast_member
s12,Vu Le Hong,10,cast_member
s12,Tomasz Włosok,11,cast_member
s12,Krzysztof Wach,12,cast_member
s13,,1,cast_member
s14,Artiwara Kongmalai,1,cast_member
s15,Omar Epps,1,cast_member
s15,Kate Walsh,2,cast_member
s15,Miranda Cosgrove,3,cast_member
s15,Angus Macfadyen,4,cast_member
s15,Jorja Fox,5,cast_member
s15,Enver Gjokaj,6,cast_member
s15,Haaz Sleiman,7,cast_member
s16,Sadiq Daba,1,cast_member
s16,David Bailie,2,cast_member
s16,Kayode Olaiya,3,cast_member
s16,Kehinde Bankole,4,cast_member
s16,Fabian Adeoye Lojede,5,cast_member
s16,Nick Rhys,6,cast_member
s16,Kunle Afolayan,7,cast_member
s16,Colin David Reese,8,cast_member
s16,Ibrahim Shatta,9,cast_member
s16,Femi Adebayo,10,cast_member
s16,Kanayo O. Kanayo,11,cast_member
s16,Lawrence Stubbings,12,cast_member
s16,Ademola Adedoyin,13,cast_member
s17,Shahd El Yaseen,1,cast_member
s17,Shaila Sabt,2,cast_member
s17,Hala,3,cast_member
s17,Hanadi Al-Kandari,4,cast_member
s17,Salma Salem,5,cast_member
s17,Ibrahim Al-Harbi,6,cast_member
s17,Mahmoud Boushahri,7,cast_member
s17,Yousef Al Balushi,8,cast_member
s17,Ghorour,9,cast_member
s17,Abdullah Al-bloshi,10,cast_member
s18,Anders Danielsen Lie,1,cast_member
